GOID,Date,publisher,title,Text,year
6950318585,1982-09-22,Chicago Tribune Media Group,Coverage of Dyslexia in 1982,"This 1982 article from Chicago Tribune Media Group discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1982
5714465844,1982-12-06,"Gannett Co., Inc.",Coverage of Autism in 1982,"This 1982 article from Gannett Co., Inc. discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1982
7528642437,1983-02-23,"Boston Globe Media Partners, LLC",Coverage of Autism in 1983,"This 1983 article from Boston Globe Media Partners, LLC discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1983
5164334270,1983-08-06,Newsday LLC,Coverage of Adhd in 1983,"This 1983 article from Newsday LLC discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",1983
9138221501,1983-09-27,WP Company LLC d/b/a The Washington Post,Coverage of Autism in 1983,"This 1983 article from WP Company LLC d/b/a The Washington Post discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1983
7733221635,1983-11-06,Chicago Tribune Media Group,Coverage of Dyslexia in 1983,"This 1983 article from Chicago Tribune Media Group discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1983
2272485020,1984-01-15,"Gannett Co., Inc.",Coverage of Autism in 1984,"This 1984 article from Gannett Co., Inc. discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1984
7612927342,1984-02-22,Times Publishing Company,Coverage of Autism in 1984,"This 1984 article from Times Publishing Company discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1984
2206604539,1984-07-06,Newsday LLC,Coverage of Adhd in 1984,"This 1984 article from Newsday LLC discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",1984
2669356239,1984-08-24,Chicago Tribune Media Group,Coverage of Autism in 1984,"This 1984 article from Chicago Tribune Media Group discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1984
5128202429,1984-10-22,Los Angeles Times Communications LLC,Coverage of Adhd in 1984,"This 1984 article from Los Angeles Times Communications LLC discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",1984
4316766039,1985-05-09,Los Angeles Times Communications LLC,Coverage of Adhd in 1985,"This 1985 article from Los Angeles Times Communications LLC discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",1985
4055190407,1985-06-12,Newsday LLC,Coverage of Dyslexia in 1985,"This 1985 article from Newsday LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1985
1067157848,1985-11-23,Los Angeles Times Communications LLC,Coverage of Dyslexia in 1985,"This 1985 article from Los Angeles Times Communications LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1985
6834565862,1986-02-10,WP Company LLC d/b/a The Washington Post,Coverage of Dyslexia in 1986,"This 1986 article from WP Company LLC d/b/a The Washington Post discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1986
5704750624,1986-02-17,WP Company LLC d/b/a The Washington Post,Coverage of Autism in 1986,"This 1986 article from WP Company LLC d/b/a The Washington Post discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1986
3602578298,1986-09-18,Times Publishing Company,Coverage of Dyslexia in 1986,"This 1986 article from Times Publishing Company discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1986
3677045063,1986-09-25,Los Angeles Times Communications LLC,Coverage of Dyslexia in 1986,"This 1986 article from Los Angeles Times Communications LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1986
6691619031,1986-10-20,Los Angeles Times Communications LLC,Coverage of Adhd in 1986,"This 1986 article from Los Angeles Times Communications LLC discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",1986
4052273870,1987-01-15,WP Company LLC d/b/a The Washington Post,Coverage of Adhd in 1987,"This 1987 article from WP Company LLC d/b/a The Washington Post discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",1987
9105517018,1987-02-04,Los Angeles Times Communications LLC,Coverage of Autism in 1987,"This 1987 article from Los Angeles Times Communications LLC discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1987
2644658402,1987-04-11,Newsday LLC,Coverage of Adhd in 1987,"This 1987 article from Newsday LLC discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",1987
3410667225,1987-09-12,Times Publishing Company,Coverage of Adhd in 1987,"This 1987 article from Times Publishing Company discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",1987
7415803238,1987-10-10,Times Publishing Company,Coverage of Autism in 1987,"This 1987 article from Times Publishing Company discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1987
1982680611,1988-01-13,WP Company LLC d/b/a The Washington Post,Coverage of Dyslexia in 1988,"This 1988 article from WP Company LLC d/b/a The Washington Post discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1988
3318599822,1988-06-19,"Boston Globe Media Partners, LLC",Coverage of Dyslexia in 1988,"This 1988 article from Boston Globe Media Partners, LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1988
7181903227,1988-06-27,Newsday LLC,Coverage of Dyslexia in 1988,"This 1988 article from Newsday LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1988
5893391332,1988-08-18,Los Angeles Times Communications LLC,Coverage of Dyslexia in 1988,"This 1988 article from Los Angeles Times Communications LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1988
8765817900,1989-03-03,Newsday LLC,Coverage of Adhd in 1989,"This 1989 article from Newsday LLC discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",1989
9076547867,1989-03-07,"Gannett Co., Inc.",Coverage of Autism in 1989,"This 1989 article from Gannett Co., Inc. discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1989
7611424586,1989-05-08,Times Publishing Company,Coverage of Dyslexia in 1989,"This 1989 article from Times Publishing Company discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1989
1453094388,1989-05-14,WP Company LLC d/b/a The Washington Post,Coverage of Dyslexia in 1989,"This 1989 article from WP Company LLC d/b/a The Washington Post discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1989
5819331062,1989-12-14,WP Company LLC d/b/a The Washington Post,Coverage of Autism in 1989,"This 1989 article from WP Company LLC d/b/a The Washington Post discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1989
5297202296,1990-04-26,Newsday LLC,Coverage of Adhd in 1990,"This 1990 article from Newsday LLC discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",1990
4696809704,1990-09-16,WP Company LLC d/b/a The Washington Post,Coverage of Autism in 1990,"This 1990 article from WP Company LLC d/b/a The Washington Post discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1990
2168799104,1990-10-10,Times Publishing Company,Coverage of Autism in 1990,"This 1990 article from Times Publishing Company discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1990
9468739568,1991-02-21,Newsday LLC,Coverage of Autism in 1991,"This 1991 article from Newsday LLC discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1991
2223380592,1991-03-22,WP Company LLC d/b/a The Washington Post,Coverage of Autism in 1991,"This 1991 article from WP Company LLC d/b/a The Washington Post discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1991
6234552479,1991-04-06,"Gannett Co., Inc.",Coverage of Adhd in 1991,"This 1991 article from Gannett Co., Inc. discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",1991
7488610247,1991-05-17,Times Publishing Company,Coverage of Dyslexia in 1991,"This 1991 article from Times Publishing Company discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1991
6248913060,1991-08-13,"Gannett Co., Inc.",Coverage of Autism in 1991,"This 1991 article from Gannett Co., Inc. discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1991
2028910482,1992-05-05,Chicago Tribune Media Group,Coverage of Dyslexia in 1992,"This 1992 article from Chicago Tribune Media Group discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1992
5194529281,1992-05-09,Newsday LLC,Coverage of Dyslexia in 1992,"This 1992 article from Newsday LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1992
7575313972,1992-06-20,Chicago Tribune Media Group,Coverage of Dyslexia in 1992,"This 1992 article from Chicago Tribune Media Group discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1992
9528303775,1992-07-16,WP Company LLC d/b/a The Washington Post,Coverage of Adhd in 1992,"This 1992 article from WP Company LLC d/b/a The Washington Post discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",1992
7007905237,1992-08-27,"Gannett Co., Inc.",Coverage of Autism in 1992,"This 1992 article from Gannett Co., Inc. discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1992
7494390210,1993-05-27,"Boston Globe Media Partners, LLC",Coverage of Dyslexia in 1993,"This 1993 article from Boston Globe Media Partners, LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1993
2377739899,1993-07-06,New York Times Company,Coverage of Autism in 1993,"This 1993 article from New York Times Company discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1993
8283460559,1993-12-15,"Boston Globe Media Partners, LLC",Coverage of Autism in 1993,"This 1993 article from Boston Globe Media Partners, LLC discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1993
9513348207,1994-03-01,"Gannett Co., Inc.",Coverage of Dyslexia in 1994,"This 1994 article from Gannett Co., Inc. discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1994
2707558823,1994-05-08,Chicago Tribune Media Group,Coverage of Dyslexia in 1994,"This 1994 article from Chicago Tribune Media Group discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1994
1487365080,1994-05-31,Los Angeles Times Communications LLC,Coverage of Dyslexia in 1994,"This 1994 article from Los Angeles Times Communications LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1994
6402818146,1994-09-20,Chicago Tribune Media Group,Coverage of Adhd in 1994,"This 1994 article from Chicago Tribune Media Group discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",1994
2038747649,1994-10-31,Newsday LLC,Coverage of Dyslexia in 1994,"This 1994 article from Newsday LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1994
4790894239,1995-01-09,New York Times Company,Coverage of Dyslexia in 1995,"This 1995 article from New York Times Company discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1995
5334468322,1995-04-22,Times Publishing Company,Coverage of Dyslexia in 1995,"This 1995 article from Times Publishing Company discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1995
2499843682,1995-05-27,Los Angeles Times Communications LLC,Coverage of Dyslexia in 1995,"This 1995 article from Los Angeles Times Communications LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1995
8168249959,1995-12-06,Newsday LLC,Coverage of Dyslexia in 1995,"This 1995 article from Newsday LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1995
3849718370,1996-06-01,Newsday LLC,Coverage of Autism in 1996,"This 1996 article from Newsday LLC discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1996
1755593187,1996-06-09,Newsday LLC,Coverage of Dyslexia in 1996,"This 1996 article from Newsday LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1996
8266634549,1996-06-11,New York Times Company,Coverage of Adhd in 1996,"This 1996 article from New York Times Company discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",1996
2219431313,1996-12-03,"Boston Globe Media Partners, LLC",Coverage of Adhd in 1996,"This 1996 article from Boston Globe Media Partners, LLC discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",1996
6434002806,1997-01-22,Newsday LLC,Coverage of Dyslexia in 1997,"This 1997 article from Newsday LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1997
2323111039,1997-02-02,Los Angeles Times Communications LLC,Coverage of Dyslexia in 1997,"This 1997 article from Los Angeles Times Communications LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1997
6692548372,1997-10-31,"Boston Globe Media Partners, LLC",Coverage of Dyslexia in 1997,"This 1997 article from Boston Globe Media Partners, LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1997
9474015781,1998-08-18,WP Company LLC d/b/a The Washington Post,Coverage of Dyslexia in 1998,"This 1998 article from WP Company LLC d/b/a The Washington Post discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1998
3090541618,1998-09-21,Times Publishing Company,Coverage of Autism in 1998,"This 1998 article from Times Publishing Company discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1998
6798542612,1998-10-13,New York Times Company,Coverage of Autism in 1998,"This 1998 article from New York Times Company discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1998
3477783323,1998-11-13,Times Publishing Company,Coverage of Dyslexia in 1998,"This 1998 article from Times Publishing Company discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1998
9392059356,1999-02-15,New York Times Company,Coverage of Adhd in 1999,"This 1999 article from New York Times Company discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",1999
4794577925,1999-04-09,Times Publishing Company,Coverage of Autism in 1999,"This 1999 article from Times Publishing Company discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1999
2653982164,1999-06-10,Los Angeles Times Communications LLC,Coverage of Dyslexia in 1999,"This 1999 article from Los Angeles Times Communications LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1999
3374107437,1999-06-30,WP Company LLC d/b/a The Washington Post,Coverage of Autism in 1999,"This 1999 article from WP Company LLC d/b/a The Washington Post discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1999
4987097879,1999-12-15,WP Company LLC d/b/a The Washington Post,Coverage of Adhd in 1999,"This 1999 article from WP Company LLC d/b/a The Washington Post discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",1999
6835343510,2000-05-06,"Gannett Co., Inc.",Coverage of Autism in 2000,"This 2000 article from Gannett Co., Inc. discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2000
2695186921,2000-08-10,"Gannett Co., Inc.",Coverage of Autism in 2000,"This 2000 article from Gannett Co., Inc. discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2000
4017146154,2000-09-02,Chicago Tribune Media Group,Coverage of Adhd in 2000,"This 2000 article from Chicago Tribune Media Group discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",2000
6680312281,2000-09-29,"Boston Globe Media Partners, LLC",Coverage of Dyslexia in 2000,"This 2000 article from Boston Globe Media Partners, LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",2000
8284392505,2000-11-18,"Boston Globe Media Partners, LLC",Coverage of Autism in 2000,"This 2000 article from Boston Globe Media Partners, LLC discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2000
3626431383,2001-01-13,Times Publishing Company,Coverage of Adhd in 2001,"This 2001 article from Times Publishing Company discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",2001
9708547726,2001-04-02,WP Company LLC d/b/a The Washington Post,Coverage of Autism in 2001,"This 2001 article from WP Company LLC d/b/a The Washington Post discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2001
8712870799,2001-05-22,"Gannett Co., Inc.",Coverage of Adhd in 2001,"This 2001 article from Gannett Co., Inc. discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",2001
2273501353,2001-09-04,WP Company LLC d/b/a The Washington Post,Coverage of Autism in 2001,"This 2001 article from WP Company LLC d/b/a The Washington Post discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2001
8774377826,2001-11-02,Newsday LLC,Coverage of Dyslexia in 2001,"This 2001 article from Newsday LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",2001
9744305493,2002-02-20,New York Times Company,Coverage of Adhd in 2002,"This 2002 article from New York Times Company discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",2002
1665898681,2002-03-04,WP Company LLC d/b/a The Washington Post,Coverage of Dyslexia in 2002,"This 2002 article from WP Company LLC d/b/a The Washington Post discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",2002
6525652604,2002-05-30,WP Company LLC d/b/a The Washington Post,Coverage of Dyslexia in 2002,"This 2002 article from WP Company LLC d/b/a The Washington Post discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",2002
7178199327,2002-08-03,Los Angeles Times Communications LLC,Coverage of Autism in 2002,"This 2002 article from Los Angeles Times Communications LLC discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2002
6597482766,2003-02-23,New York Times Company,Coverage of Dyslexia in 2003,"This 2003 article from New York Times Company discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",2003
2166267963,2003-04-18,Times Publishing Company,Coverage of Autism in 2003,"This 2003 article from Times Publishing Company discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2003
3243017696,2003-09-21,Los Angeles Times Communications LLC,Coverage of Autism in 2003,"This 2003 article from Los Angeles Times Communications LLC discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2003
5425964885,2003-11-01,Los Angeles Times Communications LLC,Coverage of Autism in 2003,"This 2003 article from Los Angeles Times Communications LLC discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2003
5164129137,2004-05-03,"Boston Globe Media Partners, LLC",Coverage of Autism in 2004,"This 2004 article from Boston Globe Media Partners, LLC discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2004
9956499139,2004-09-18,WP Company LLC d/b/a The Washington Post,Coverage of Autism in 2004,"This 2004 article from WP Company LLC d/b/a The Washington Post discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2004
1834855903,2004-12-15,"Gannett Co., Inc.",Coverage of Adhd in 2004,"This 2004 article from Gannett Co., Inc. discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",2004
1791707097,2005-04-27,WP Company LLC d/b/a The Washington Post,Coverage of Adhd in 2005,"This 2005 article from WP Company LLC d/b/a The Washington Post discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",2005
8885474582,2005-05-07,Los Angeles Times Communications LLC,Coverage of Autism in 2005,"This 2005 article from Los Angeles Times Communications LLC discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2005
5471350930,2005-05-25,"Gannett Co., Inc.",Coverage of Dyslexia in 2005,"This 2005 article from Gannett Co., Inc. discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",2005
5631934902,2005-12-12,"Gannett Co., Inc.",Coverage of Autism in 2005,"This 2005 article from Gannett Co., Inc. discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2005
8364133423,2006-03-30,"Gannett Co., Inc.",Coverage of Adhd in 2006,"This 2006 article from Gannett Co., Inc. discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",2006
1744293433,2006-05-02,Chicago Tribune Media Group,Coverage of Dyslexia in 2006,"This 2006 article from Chicago Tribune Media Group discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",2006
2899888366,2006-10-17,Chicago Tribune Media Group,Coverage of Adhd in 2006,"This 2006 article from Chicago Tribune Media Group discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",2006
4169243110,2007-07-11,Los Angeles Times Communications LLC,Coverage of Dyslexia in 2007,"This 2007 article from Los Angeles Times Communications LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",2007
8430462300,2007-09-04,Chicago Tribune Media Group,Coverage of Autism in 2007,"This 2007 article from Chicago Tribune Media Group discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2007
3741351296,2007-09-29,New York Times Company,Coverage of Dyslexia in 2007,"This 2007 article from New York Times Company discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",2007
1404401198,2008-04-03,WP Company LLC d/b/a The Washington Post,Coverage of Autism in 2008,"This 2008 article from WP Company LLC d/b/a The Washington Post discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2008
1516103253,2008-07-03,Times Publishing Company,Coverage of Dyslexia in 2008,"This 2008 article from Times Publishing Company discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",2008
9501932989,2008-07-22,"Gannett Co., Inc.",Coverage of Dyslexia in 2008,"This 2008 article from Gannett Co., Inc. discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",2008
1498528205,2008-08-07,WP Company LLC d/b/a The Washington Post,Coverage of Autism in 2008,"This 2008 article from WP Company LLC d/b/a The Washington Post discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2008
7406441391,2008-12-06,Chicago Tribune Media Group,Coverage of Autism in 2008,"This 2008 article from Chicago Tribune Media Group discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2008
9796346105,2009-01-10,WP Company LLC d/b/a The Washington Post,Coverage of Adhd in 2009,"This 2009 article from WP Company LLC d/b/a The Washington Post discusses ADHD, examining everyday experiences, educational challenges, and recent research on how to better support individuals with ADHD across school and work settings.",2009
8022673732,2009-04-10,"Gannett Co., Inc.",Coverage of Autism in 2009,"This 2009 article from Gannett Co., Inc. discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2009
7983015161,2009-05-27,New York Times Company,Coverage of Autism in 2009,"This 2009 article from New York Times Company discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2009
6415496883,2009-08-11,Los Angeles Times Communications LLC,Coverage of Dyslexia in 2009,"This 2009 article from Los Angeles Times Communications LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",2009
7158345949,2009-12-23,Newsday LLC,Coverage of Autism in 2009,"This 2009 article from Newsday LLC discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2009
1699798019,2010-01-16,WP Company LLC d/b/a The Washington Post,Coverage of Autism in 2010,"This 2010 article from WP Company LLC d/b/a The Washington Post discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",2010
